,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Mauritania,236.18,217.4,199.62,337.84,268.94,230.23,272.27,239.07,165.86,222.7,223.63,282.74,363.46,260.85,194.77,188.8,216.32,348.85,454.79,375.98,373.61,381.72,409.79,294.74,260.71,318,290.85
Mauritius,88.29,67.32,45.69,26.74,14.84,23.82,20.33,42.06,40.41,41.82,20.75,21.28,23.85,-14.52,32.8,34.4,19.13,69.21,108.68,156.03,124.59,185.69,176.68,145.74,44.59,78.42,42.37
Mayotte,60.51,72.16,74.73,83.32,104.67,107.75,129.69,104.25,104.37,111.75,103.19,120.19,124.88,166.04,208.45,201.34,337.64,407.24,475.53,544.26,603.85,..,..,..,..,..,..
Mekong Delta Project,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mexico,156.25,274.18,320.9,427.58,431.14,391.24,291.93,99.87,19.17,36.55,-45.34,98.7,141.64,120.93,140.98,201.91,250.81,119.34,147.81,189.22,462.28,973.17,407.93,562.39,814.89,321.07,809.31
Micronesia,..,0.46,13.6,63.83,103.94,77.16,112.8,95.75,79.89,107.81,101.88,137.9,112.08,115,86.37,106.44,108.57,114.95,94.14,120.88,63.42,133.45,143.26,143.21,117.01,81.39,50.81
Moldova,..,..,..,..,..,..,..,65.29,39.78,107.26,122.65,119.24,142.98,119.06,119.9,169.71,224.82,270.3,298.17,245.78,473.01,461.69,475.49,348.69,517.8,312.58,328.37
Mongolia,13.05,70.64,122.78,122.87,183.07,209.02,199.97,250.97,203.72,223.49,218.45,213.84,209.69,252.07,256.47,221.02,205.75,229.23,247.9,371.91,302.99,351.12,446.53,430.52,316.91,236.34,325.5
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,8.14,20.13,3.86,95.59,105.65,104.47,76.49,80.07,126.63,103.09,117.18,100.42,99.96,85.68
Montserrat,8.35,9.32,7.25,9.79,12.82,9.47,14.42,42.75,65.65,40.91,30.94,33.01,43.53,36.59,44.46,27.8,32.37,36.33,34.74,44.08,25.75,46.64,40.33,54.95,40.06,52.39,38.75
